epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1640.2,1.65105,0.77181,0.89216,1,0.99675,0.995,0.5598,1.55177,0.68436,0.84329,0.0011486,0.0011486,0.0011486
45,1667.1,1.61943,0.76449,0.89175,0.9991,1,0.995,0.58483,1.49496,0.67244,0.83834,0.0011288,0.0011288,0.0011288
46,1693.92,1.59784,0.75461,0.8767,0.99915,1,0.995,0.5896,1.53015,0.6531,0.83752,0.001109,0.001109,0.001109
47,1720.99,1.61819,0.75677,0.88334,0.98911,0.99174,0.99483,0.56343,1.53519,0.67863,0.84691,0.0010892,0.0010892,0.0010892
48,1748.02,1.60072,0.72598,0.88451,0.99872,1,0.995,0.59742,1.5032,0.6753,0.84247,0.0010694,0.0010694,0.0010694
49,1775.28,1.52522,0.70298,0.88413,1,0.92786,0.97342,0.59254,1.50138,1.0436,0.84543,0.0010496,0.0010496,0.0010496
50,1803.09,1.61605,0.73277,0.87886,0.99888,1,0.995,0.57651,1.51566,0.66548,0.84512,0.0010298,0.0010298,0.0010298
51,1829.71,1.55478,0.7256,0.88462,0.99853,1,0.995,0.60629,1.47366,0.64271,0.84113,0.00101,0.00101,0.00101
52,1857.94,1.61157,0.70764,0.89115,0.99906,1,0.995,0.61151,1.44006,0.64678,0.8298,0.0009902,0.0009902,0.0009902
53,1883.86,1.56989,0.72953,0.88211,0.99951,1,0.995,0.61149,1.48565,0.60139,0.83566,0.0009704,0.0009704,0.0009704
54,1910.27,1.55236,0.70154,0.87663,1,0.9739,0.99416,0.5969,1.48384,0.6951,0.83649,0.0009506,0.0009506,0.0009506
55,1936.68,1.54296,0.69626,0.87139,0.99928,1,0.995,0.59027,1.50311,0.63882,0.83444,0.0009308,0.0009308,0.0009308
56,1962.95,1.5336,0.7112,0.87745,0.9987,1,0.995,0.59893,1.46688,0.63685,0.83415,0.000911,0.000911,0.000911
57,1990.76,1.54101,0.69706,0.87351,0.99907,1,0.995,0.60462,1.46288,0.61471,0.82979,0.0008912,0.0008912,0.0008912
58,2363.39,1.48671,0.67227,0.88022,0.99917,1,0.995,0.58993,1.50017,0.6303,0.83337,0.0008714,0.0008714,0.0008714
59,2504.96,1.57129,0.70746,0.87923,0.99907,1,0.995,0.60194,1.45176,0.64521,0.82915,0.0008516,0.0008516,0.0008516
60,2635.21,1.52855,0.6832,0.87294,0.99876,1,0.995,0.60457,1.48365,0.62428,0.83361,0.0008318,0.0008318,0.0008318
61,2663.13,1.55715,0.68752,0.86936,0.99914,1,0.995,0.61519,1.4447,0.61447,0.83302,0.000812,0.000812,0.000812
62,2689.75,1.4858,0.69244,0.86019,0.99882,1,0.995,0.58361,1.48999,0.63908,0.83053,0.0007922,0.0007922,0.0007922
63,2716.49,1.48426,0.67634,0.86713,0.99922,1,0.995,0.61052,1.45255,0.61533,0.82995,0.0007724,0.0007724,0.0007724
64,2742.79,1.5051,0.67931,0.87405,0.99893,1,0.995,0.60654,1.45238,0.61671,0.83575,0.0007526,0.0007526,0.0007526
65,2804.46,1.48176,0.65445,0.85693,0.99905,1,0.995,0.59389,1.46224,0.62803,0.82985,0.0007328,0.0007328,0.0007328
66,2831.58,1.51031,0.6777,0.87185,0.99891,1,0.995,0.60752,1.45188,0.59289,0.82871,0.000713,0.000713,0.000713
67,2858.67,1.4698,0.65611,0.86051,0.99909,1,0.995,0.62172,1.4052,0.61039,0.82543,0.0006932,0.0006932,0.0006932
68,2886.11,1.47953,0.66086,0.86686,0.99902,1,0.995,0.62738,1.4105,0.59092,0.82528,0.0006734,0.0006734,0.0006734
69,2912.87,1.48522,0.65056,0.87223,0.99893,1,0.995,0.5849,1.56251,0.64712,0.84476,0.0006536,0.0006536,0.0006536
