epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.668,5.44231,6.59981,4.10873,0.00075,0.00084,0.00038,5e-05,5.33853,6.73331,4.35763,0.000235983,0.000235983,0.000235983
2,784.233,4.82831,5.13848,3.41076,3e-05,0.00016,1e-05,0,4.3399,7.86208,3.11743,0.000469291,0.000469291,0.000469291
3,1216.5,4.45945,4.36882,2.71017,0.00016,0.00095,8e-05,3e-05,4.18045,5.31399,2.58134,0.000697886,0.000697886,0.000697886
4,1707.84,4.30779,4.14397,2.26137,0.00039,0.00206,0.00021,5e-05,4.28462,4.42218,2.30981,0.000692794,0.000692794,0.000692794
5,2525.71,4.24174,4.02723,2.03391,4e-05,0.00016,2e-05,0,4.2529,4.98362,2.14825,0.000685726,0.000685726,0.000685726
6,3233.67,4.20345,3.92761,1.92906,0.00026,0.00095,0.00013,2e-05,4.15338,4.0911,2.27956,0.000678657,0.000678657,0.000678657
7,4045.35,4.15381,3.89212,1.86028,0.00017,0.00032,8e-05,2e-05,4.15684,4.11899,2.27151,0.000671588,0.000671588,0.000671588
