index,filename,mean_abs_diff_vs_prev_gray8
187,frame_000187.jpg,0.3549
188,frame_000188.jpg,0.354
189,frame_000189.jpg,0.3418
190,frame_000190.jpg,0.3533
191,frame_000191.jpg,0.3587
192,frame_000192.jpg,0.351
193,frame_000193.jpg,0.3589
194,frame_000194.jpg,0.3469
195,frame_000195.jpg,0.3478
196,frame_000196.jpg,0.3497
197,frame_000197.jpg,0.3548
198,frame_000198.jpg,0.3554
199,frame_000199.jpg,0.3501
200,frame_000200.jpg,0.3435
201,frame_000201.jpg,0.3477
202,frame_000202.jpg,0.3489
203,frame_000203.jpg,0.3499
204,frame_000204.jpg,0.3533
205,frame_000205.jpg,0.3575
206,frame_000206.jpg,0.3615
207,frame_000207.jpg,0.3586
208,frame_000208.jpg,0.3569
209,frame_000209.jpg,0.3531
210,frame_000210.jpg,0.3508
211,frame_000211.jpg,0.3478
212,frame_000212.jpg,0.344
213,frame_000213.jpg,0.3553
214,frame_000214.jpg,0.3663
215,frame_000215.jpg,0.3531
216,frame_000216.jpg,0.3478
217,frame_000217.jpg,0.358
218,frame_000218.jpg,0.3734
219,frame_000219.jpg,0.3571
220,frame_000220.jpg,0.3576
221,frame_000221.jpg,0.3581
222,frame_000222.jpg,0.3528
223,frame_000223.jpg,0.3602
224,frame_000224.jpg,0.3546
225,frame_000225.jpg,0.3531
226,frame_000226.jpg,0.3487
227,frame_000227.jpg,0.3463
228,frame_000228.jpg,0.3615
229,frame_000229.jpg,0.3553
230,frame_000230.jpg,0.3642
231,frame_000231.jpg,0.3615
232,frame_000232.jpg,0.3499
233,frame_000233.jpg,0.3533
234,frame_000234.jpg,0.3535
235,frame_000235.jpg,0.3472
236,frame_000236.jpg,0.3481
237,frame_000237.jpg,0.3476
238,frame_000238.jpg,0.3612
239,frame_000239.jpg,0.3563
240,frame_000240.jpg,0.3492
241,frame_000241.jpg,0.3558
242,frame_000242.jpg,0.3556
243,frame_000243.jpg,0.3514
244,frame_000244.jpg,0.359
245,frame_000245.jpg,0.3568
246,frame_000246.jpg,0.3649
247,frame_000247.jpg,0.3571
248,frame_000248.jpg,0.3588
249,frame_000249.jpg,0.3849
250,frame_000250.jpg,0.3453
251,frame_000251.jpg,0.3463
252,frame_000252.jpg,0.3849
253,frame_000253.jpg,0.3649
254,frame_000254.jpg,0.4319
255,frame_000255.jpg,0.397
256,frame_000256.jpg,0.3469
257,frame_000257.jpg,0.3826
258,frame_000258.jpg,0.3462
259,frame_000259.jpg,0.4299
260,frame_000260.jpg,0.3582
261,frame_000261.jpg,0.3549
262,frame_000262.jpg,0.3847
263,frame_000263.jpg,0.3411
264,frame_000264.jpg,0.4013
265,frame_000265.jpg,0.3913
266,frame_000266.jpg,0.3415
267,frame_000267.jpg,0.3894
268,frame_000268.jpg,0.3601
269,frame_000269.jpg,0.3951
270,frame_000270.jpg,0.3563
271,frame_000271.jpg,0.3516
272,frame_000272.jpg,0.3482
273,frame_000273.jpg,0.3478
274,frame_000274.jpg,0.3507
275,frame_000275.jpg,0.3514
276,frame_000276.jpg,0.3942
277,frame_000277.jpg,0.3974
278,frame_000278.jpg,0.3519
279,frame_000279.jpg,0.3541
280,frame_000280.jpg,0.3905
281,frame_000281.jpg,0.3936
282,frame_000282.jpg,0.3411
283,frame_000283.jpg,0.3429
284,frame_000284.jpg,0.3454
285,frame_000285.jpg,0.3424
286,frame_000286.jpg,0.3873
287,frame_000287.jpg,0.3888
288,frame_000288.jpg,0.3482
289,frame_000289.jpg,0.3553
290,frame_000290.jpg,0.3492
291,frame_000291.jpg,0.3484
292,frame_000292.jpg,0.344
293,frame_000293.jpg,0.351
294,frame_000294.jpg,0.3764
295,frame_000295.jpg,0.3551
296,frame_000296.jpg,0.3801
297,frame_000297.jpg,0.3494
298,frame_000298.jpg,0.3531
299,frame_000299.jpg,0.3859
300,frame_000300.jpg,0.384
301,frame_000301.jpg,0.3456
302,frame_000302.jpg,0.3824
303,frame_000303.jpg,0.3886
304,frame_000304.jpg,0.3801
305,frame_000305.jpg,0.3562
306,frame_000306.jpg,0.3536
307,frame_000307.jpg,0.35
308,frame_000308.jpg,0.3519
309,frame_000309.jpg,0.374
310,frame_000310.jpg,0.3779
311,frame_000311.jpg,0.3556
312,frame_000312.jpg,0.3522
313,frame_000313.jpg,0.36
314,frame_000314.jpg,0.3663
315,frame_000315.jpg,0.359
316,frame_000316.jpg,0.3606
317,frame_000317.jpg,0.3439
318,frame_000318.jpg,0.3509
319,frame_000319.jpg,0.351
320,frame_000320.jpg,0.3463
321,frame_000321.jpg,0.3543
322,frame_000322.jpg,0.3566
323,frame_000323.jpg,0.3519
324,frame_000324.jpg,0.3649
325,frame_000325.jpg,0.353
326,frame_000326.jpg,0.338
327,frame_000327.jpg,0.3568
328,frame_000328.jpg,0.3658
329,frame_000329.jpg,0.3571
330,frame_000330.jpg,0.36
331,frame_000331.jpg,0.359
332,frame_000332.jpg,0.3665
333,frame_000333.jpg,0.3528
334,frame_000334.jpg,0.3509
335,frame_000335.jpg,0.3573
336,frame_000336.jpg,0.3582
337,frame_000337.jpg,0.3544
338,frame_000338.jpg,0.3615
339,frame_000339.jpg,0.3642
340,frame_000340.jpg,0.3563
341,frame_000341.jpg,0.3626
342,frame_000342.jpg,0.3628
343,frame_000343.jpg,0.3488
344,frame_000344.jpg,0.3496
345,frame_000345.jpg,0.361
346,frame_000346.jpg,0.3449
347,frame_000347.jpg,0.3567
348,frame_000348.jpg,0.3553
349,frame_000349.jpg,0.3506
350,frame_000350.jpg,0.3617
351,frame_000351.jpg,0.3534
352,frame_000352.jpg,0.3526
353,frame_000353.jpg,0.3456
354,frame_000354.jpg,0.3522
355,frame_000355.jpg,0.3544
356,frame_000356.jpg,0.3588
357,frame_000357.jpg,0.3613
358,frame_000358.jpg,0.3456
359,frame_000359.jpg,0.3594
360,frame_000360.jpg,0.3549
361,frame_000361.jpg,0.351
362,frame_000362.jpg,0.3481
363,frame_000363.jpg,0.354
364,frame_000364.jpg,0.346
365,frame_000365.jpg,0.3521
366,frame_000366.jpg,0.3679
367,frame_000367.jpg,0.3586
368,frame_000368.jpg,0.3407
369,frame_000369.jpg,0.3489
370,frame_000370.jpg,0.3564
371,frame_000371.jpg,0.3528
372,frame_000372.jpg,0.3628
373,frame_000373.jpg,0.35
374,frame_000374.jpg,0.3514
375,frame_000375.jpg,0.3567
376,frame_000376.jpg,0.3483
377,frame_000377.jpg,0.3491
378,frame_000378.jpg,0.3549
379,frame_000379.jpg,0.3506
380,frame_000380.jpg,0.3597
381,frame_000381.jpg,0.3535
382,frame_000382.jpg,0.3505
383,frame_000383.jpg,0.3542
384,frame_000384.jpg,0.3601
385,frame_000385.jpg,0.361
386,frame_000386.jpg,0.359
387,frame_000387.jpg,0.3544
388,frame_000388.jpg,0.3522
389,frame_000389.jpg,0.3565
390,frame_000390.jpg,0.3472
391,frame_000391.jpg,0.359
392,frame_000392.jpg,0.3608
393,frame_000393.jpg,0.3471
394,frame_000394.jpg,0.3459
395,frame_000395.jpg,0.3534
396,frame_000396.jpg,0.3568
397,frame_000397.jpg,0.3489
398,frame_000398.jpg,0.3494
399,frame_000399.jpg,0.3558
400,frame_000400.jpg,0.3613
401,frame_000401.jpg,0.3531
402,frame_000402.jpg,0.3569
403,frame_000403.jpg,0.3597
404,frame_000404.jpg,0.3577
405,frame_000405.jpg,0.3422
406,frame_000406.jpg,0.3494
407,frame_000407.jpg,0.3553
408,frame_000408.jpg,0.3491
409,frame_000409.jpg,0.3522
410,frame_000410.jpg,0.3594
411,frame_000411.jpg,0.3622
412,frame_000412.jpg,0.352
413,frame_000413.jpg,0.3525
414,frame_000414.jpg,0.3465
415,frame_000415.jpg,0.3521
416,frame_000416.jpg,0.3531
417,frame_000417.jpg,0.3479
418,frame_000418.jpg,0.3533
419,frame_000419.jpg,0.3543
420,frame_000420.jpg,0.3421
421,frame_000421.jpg,0.3541
422,frame_000422.jpg,0.3499
423,frame_000423.jpg,0.3554
424,frame_000424.jpg,0.3535
425,frame_000425.jpg,0.355
426,frame_000426.jpg,0.3531
427,frame_000427.jpg,0.3549
428,frame_000428.jpg,0.3497
