index,filename,mean_abs_diff_vs_prev_gray8
188,frame_000188.jpg,0.3813
189,frame_000189.jpg,0.379
190,frame_000190.jpg,0.3781
191,frame_000191.jpg,0.3837
192,frame_000192.jpg,0.3763
193,frame_000193.jpg,0.3801
194,frame_000194.jpg,0.3828
195,frame_000195.jpg,0.3825
196,frame_000196.jpg,0.3758
197,frame_000197.jpg,0.3797
198,frame_000198.jpg,0.3792
199,frame_000199.jpg,0.3856
200,frame_000200.jpg,0.3821
201,frame_000201.jpg,0.3861
202,frame_000202.jpg,0.3834
203,frame_000203.jpg,0.3752
204,frame_000204.jpg,0.3823
205,frame_000205.jpg,0.3819
206,frame_000206.jpg,0.3802
207,frame_000207.jpg,0.3842
208,frame_000208.jpg,0.379
209,frame_000209.jpg,0.3772
210,frame_000210.jpg,0.3781
211,frame_000211.jpg,0.3783
212,frame_000212.jpg,0.3829
213,frame_000213.jpg,0.3864
214,frame_000214.jpg,0.3799
215,frame_000215.jpg,0.3796
216,frame_000216.jpg,0.3733
217,frame_000217.jpg,0.3711
218,frame_000218.jpg,0.3824
219,frame_000219.jpg,0.3803
220,frame_000220.jpg,0.3805
221,frame_000221.jpg,0.3744
222,frame_000222.jpg,0.3737
223,frame_000223.jpg,0.376
224,frame_000224.jpg,0.381
225,frame_000225.jpg,0.3799
226,frame_000226.jpg,0.3862
227,frame_000227.jpg,0.3801
228,frame_000228.jpg,0.3716
229,frame_000229.jpg,0.3744
230,frame_000230.jpg,0.3724
231,frame_000231.jpg,0.3781
232,frame_000232.jpg,0.3732
233,frame_000233.jpg,0.3709
234,frame_000234.jpg,0.3869
235,frame_000235.jpg,0.3842
236,frame_000236.jpg,0.3835
237,frame_000237.jpg,0.3819
238,frame_000238.jpg,0.3922
239,frame_000239.jpg,0.3785
240,frame_000240.jpg,0.379
241,frame_000241.jpg,0.3866
242,frame_000242.jpg,0.3813
243,frame_000243.jpg,0.3831
244,frame_000244.jpg,0.3804
245,frame_000245.jpg,0.3817
246,frame_000246.jpg,0.3826
247,frame_000247.jpg,0.384
248,frame_000248.jpg,0.3824
249,frame_000249.jpg,0.3845
250,frame_000250.jpg,0.3791
251,frame_000251.jpg,0.3816
252,frame_000252.jpg,0.3871
253,frame_000253.jpg,0.3823
254,frame_000254.jpg,0.3803
255,frame_000255.jpg,0.3822
256,frame_000256.jpg,0.3853
257,frame_000257.jpg,0.3831
258,frame_000258.jpg,0.3785
259,frame_000259.jpg,0.3817
260,frame_000260.jpg,0.3789
261,frame_000261.jpg,0.3809
262,frame_000262.jpg,0.3781
263,frame_000263.jpg,0.3845
264,frame_000264.jpg,0.3778
265,frame_000265.jpg,0.3808
266,frame_000266.jpg,0.3785
267,frame_000267.jpg,0.3838
268,frame_000268.jpg,0.3778
269,frame_000269.jpg,0.3851
270,frame_000270.jpg,0.3802
271,frame_000271.jpg,0.3808
272,frame_000272.jpg,0.3876
273,frame_000273.jpg,0.3803
274,frame_000274.jpg,0.3806
275,frame_000275.jpg,0.3785
276,frame_000276.jpg,0.3752
277,frame_000277.jpg,0.3783
278,frame_000278.jpg,0.3812
279,frame_000279.jpg,0.3781
280,frame_000280.jpg,0.3772
281,frame_000281.jpg,0.3821
282,frame_000282.jpg,0.389
283,frame_000283.jpg,0.3875
284,frame_000284.jpg,0.3804
285,frame_000285.jpg,0.3752
286,frame_000286.jpg,0.3717
287,frame_000287.jpg,0.3827
288,frame_000288.jpg,0.3826
289,frame_000289.jpg,0.3793
290,frame_000290.jpg,0.3796
291,frame_000291.jpg,0.3778
292,frame_000292.jpg,0.3832
293,frame_000293.jpg,0.3768
294,frame_000294.jpg,0.3828
295,frame_000295.jpg,0.3799
296,frame_000296.jpg,0.3781
297,frame_000297.jpg,0.3825
298,frame_000298.jpg,0.3833
299,frame_000299.jpg,0.3784
300,frame_000300.jpg,0.3822
301,frame_000301.jpg,0.3772
302,frame_000302.jpg,0.3784
303,frame_000303.jpg,0.383
304,frame_000304.jpg,0.379
305,frame_000305.jpg,0.3782
306,frame_000306.jpg,0.3774
307,frame_000307.jpg,0.3834
308,frame_000308.jpg,0.3799
309,frame_000309.jpg,0.3814
310,frame_000310.jpg,0.3851
311,frame_000311.jpg,0.3783
312,frame_000312.jpg,0.3837
313,frame_000313.jpg,0.3756
314,frame_000314.jpg,0.384
315,frame_000315.jpg,0.3837
316,frame_000316.jpg,0.3934
317,frame_000317.jpg,0.3812
318,frame_000318.jpg,0.3806
319,frame_000319.jpg,0.3819
320,frame_000320.jpg,0.3851
321,frame_000321.jpg,0.3865
322,frame_000322.jpg,0.3847
323,frame_000323.jpg,0.3797
324,frame_000324.jpg,0.3861
325,frame_000325.jpg,0.3821
326,frame_000326.jpg,0.3829
327,frame_000327.jpg,0.3846
328,frame_000328.jpg,0.3795
329,frame_000329.jpg,0.3877
330,frame_000330.jpg,0.3832
331,frame_000331.jpg,0.3778
332,frame_000332.jpg,0.3765
333,frame_000333.jpg,0.3798
334,frame_000334.jpg,0.379
335,frame_000335.jpg,0.3784
336,frame_000336.jpg,0.3872
337,frame_000337.jpg,0.3876
338,frame_000338.jpg,0.3787
339,frame_000339.jpg,0.3808
340,frame_000340.jpg,0.3765
341,frame_000341.jpg,0.3828
342,frame_000342.jpg,0.3845
343,frame_000343.jpg,0.38
344,frame_000344.jpg,0.3785
345,frame_000345.jpg,0.3834
346,frame_000346.jpg,0.3793
347,frame_000347.jpg,0.3721
348,frame_000348.jpg,0.3693
349,frame_000349.jpg,0.383
350,frame_000350.jpg,0.3862
351,frame_000351.jpg,0.3831
352,frame_000352.jpg,0.3818
353,frame_000353.jpg,0.3753
354,frame_000354.jpg,0.3847
355,frame_000355.jpg,0.3841
356,frame_000356.jpg,0.3853
357,frame_000357.jpg,0.3838
358,frame_000358.jpg,0.3794
359,frame_000359.jpg,0.385
360,frame_000360.jpg,0.3867
361,frame_000361.jpg,0.3851
362,frame_000362.jpg,0.3801
363,frame_000363.jpg,0.3806
364,frame_000364.jpg,0.3792
365,frame_000365.jpg,0.3781
366,frame_000366.jpg,0.3844
367,frame_000367.jpg,0.3799
368,frame_000368.jpg,0.3889
369,frame_000369.jpg,0.3858
370,frame_000370.jpg,0.3831
371,frame_000371.jpg,0.3825
372,frame_000372.jpg,0.3917
373,frame_000373.jpg,0.5794
374,frame_000374.jpg,0.9426
375,frame_000375.jpg,0.5062
376,frame_000376.jpg,0.9124
377,frame_000377.jpg,0.4126
378,frame_000378.jpg,0.5153
379,frame_000379.jpg,0.5631
380,frame_000380.jpg,0.3853
381,frame_000381.jpg,0.3972
382,frame_000382.jpg,0.3935
383,frame_000383.jpg,0.3855
384,frame_000384.jpg,0.3856
385,frame_000385.jpg,0.3856
386,frame_000386.jpg,0.3869
387,frame_000387.jpg,0.3842
388,frame_000388.jpg,0.3812
389,frame_000389.jpg,0.3958
390,frame_000390.jpg,0.381
391,frame_000391.jpg,0.3881
392,frame_000392.jpg,0.3884
393,frame_000393.jpg,0.3859
394,frame_000394.jpg,0.3874
395,frame_000395.jpg,0.3822
396,frame_000396.jpg,0.3847
397,frame_000397.jpg,0.3874
398,frame_000398.jpg,0.3862
399,frame_000399.jpg,0.4219
400,frame_000400.jpg,0.5088
401,frame_000401.jpg,0.432
402,frame_000402.jpg,0.3915
403,frame_000403.jpg,0.4192
404,frame_000404.jpg,0.3963
405,frame_000405.jpg,0.3998
406,frame_000406.jpg,0.3895
407,frame_000407.jpg,0.3916
408,frame_000408.jpg,0.3886
409,frame_000409.jpg,0.397
410,frame_000410.jpg,0.3928
411,frame_000411.jpg,0.3891
412,frame_000412.jpg,0.3875
413,frame_000413.jpg,0.4003
414,frame_000414.jpg,0.387
415,frame_000415.jpg,0.386
416,frame_000416.jpg,0.3802
417,frame_000417.jpg,0.3924
418,frame_000418.jpg,0.3867
419,frame_000419.jpg,0.3884
420,frame_000420.jpg,0.3851
421,frame_000421.jpg,0.3876
422,frame_000422.jpg,0.3898
423,frame_000423.jpg,0.5583
424,frame_000424.jpg,0.391
425,frame_000425.jpg,0.3933
426,frame_000426.jpg,0.4175
427,frame_000427.jpg,0.5937
428,frame_000428.jpg,0.3892
429,frame_000429.jpg,0.3864
430,frame_000430.jpg,0.3856
431,frame_000431.jpg,0.3858
432,frame_000432.jpg,0.3822
433,frame_000433.jpg,0.3904
434,frame_000434.jpg,0.3745
435,frame_000435.jpg,0.3858
436,frame_000436.jpg,0.3915
437,frame_000437.jpg,0.3979
438,frame_000438.jpg,0.3876
439,frame_000439.jpg,0.3858
440,frame_000440.jpg,0.3861
441,frame_000441.jpg,0.389
442,frame_000442.jpg,0.384
443,frame_000443.jpg,0.3867
444,frame_000444.jpg,0.385
