index,filename,blob_px,cx_px,cy_px,bw_px,bh_px
651,frame_000651.jpg,46,1019.1,334.9,44.0,36.0
652,frame_000652.jpg,51,1020.4,337.3,44.0,40.0
653,frame_000653.jpg,35,1020.1,331.7,44.0,24.0
654,frame_000654.jpg,36,1019.4,333.6,44.0,24.0
655,frame_000655.jpg,44,1019.6,338.7,44.0,36.0
656,frame_000656.jpg,35,1020.8,335.4,44.0,24.0
657,frame_000657.jpg,37,1020.0,336.1,44.0,24.0
658,frame_000658.jpg,36,1020.1,337.2,44.0,24.0
659,frame_000659.jpg,46,1020.3,342.8,44.0,36.0
660,frame_000660.jpg,34,1020.5,339.5,44.0,24.0
661,frame_000661.jpg,35,1020.1,340.5,44.0,24.0
662,frame_000662.jpg,35,1020.3,341.4,44.0,24.0
663,frame_000663.jpg,34,1020.4,342.7,44.0,24.0
664,frame_000664.jpg,34,1020.1,344.0,44.0,24.0
665,frame_000665.jpg,37,1020.9,344.6,48.0,24.0
666,frame_000666.jpg,37,1021.0,345.8,48.0,24.0
667,frame_000667.jpg,36,1022.7,346.4,48.0,24.0
668,frame_000668.jpg,34,1022.0,348.4,48.0,24.0
669,frame_000669.jpg,39,1021.0,349.4,48.0,24.0
670,frame_000670.jpg,37,1021.0,349.8,48.0,24.0
671,frame_000671.jpg,35,1023.1,351.0,48.0,24.0
672,frame_000672.jpg,35,1022.1,352.8,48.0,24.0
673,frame_000673.jpg,36,1021.9,353.4,48.0,24.0
674,frame_000674.jpg,37,1022.6,354.6,48.0,28.0
675,frame_000675.jpg,34,1023.4,355.5,48.0,24.0
676,frame_000676.jpg,33,1023.8,356.7,44.0,24.0
677,frame_000677.jpg,35,1023.1,357.5,44.0,24.0
678,frame_000678.jpg,42,1023.9,363.2,44.0,36.0
679,frame_000679.jpg,38,1024.5,364.2,44.0,32.0
680,frame_000680.jpg,35,1023.3,362.3,44.0,32.0
681,frame_000681.jpg,35,1022.6,362.1,44.0,28.0
682,frame_000682.jpg,32,1024.9,363.1,44.0,24.0
683,frame_000683.jpg,30,1024.7,364.1,44.0,24.0
684,frame_000684.jpg,32,1022.8,365.5,44.0,24.0
685,frame_000685.jpg,32,1023.1,365.9,44.0,24.0
686,frame_000686.jpg,31,1023.7,366.8,44.0,20.0
687,frame_000687.jpg,32,1023.5,368.2,44.0,24.0
688,frame_000688.jpg,33,1023.6,369.9,44.0,24.0
689,frame_000689.jpg,33,1024.1,370.4,44.0,24.0
690,frame_000690.jpg,29,1025.0,371.3,44.0,20.0
691,frame_000691.jpg,30,1023.5,372.4,44.0,20.0
692,frame_000692.jpg,31,1023.9,373.9,44.0,24.0
693,frame_000693.jpg,30,1024.9,374.7,44.0,20.0
694,frame_000694.jpg,27,1025.0,374.8,44.0,20.0
695,frame_000695.jpg,26,1023.1,376.6,44.0,20.0
696,frame_000696.jpg,27,1024.1,377.3,44.0,24.0
697,frame_000697.jpg,24,1024.8,376.8,48.0,12.0
698,frame_000698.jpg,18,1020.4,377.3,36.0,12.0
699,frame_000699.jpg,14,1020.0,378.3,36.0,12.0
700,frame_000700.jpg,14,1025.4,379.7,24.0,16.0
701,frame_000701.jpg,12,1026.3,380.7,20.0,12.0
