index,filename,width,height,green_px
0,frame_000000.jpg,1920,1080,1207
1,frame_000001.jpg,1920,1080,1207
2,frame_000002.jpg,1920,1080,1214
3,frame_000003.jpg,1920,1080,1164
4,frame_000004.jpg,1920,1080,1158
5,frame_000005.jpg,1920,1080,1216
6,frame_000006.jpg,1920,1080,1187
7,frame_000007.jpg,1920,1080,1181
8,frame_000008.jpg,1920,1080,1191
9,frame_000009.jpg,1920,1080,1184
10,frame_000010.jpg,1920,1080,1205
11,frame_000011.jpg,1920,1080,1173
12,frame_000012.jpg,1920,1080,1194
13,frame_000013.jpg,1920,1080,1201
14,frame_000014.jpg,1920,1080,1206
15,frame_000015.jpg,1920,1080,1193
16,frame_000016.jpg,1920,1080,1184
17,frame_000017.jpg,1920,1080,1189
18,frame_000018.jpg,1920,1080,1180
19,frame_000019.jpg,1920,1080,1202
20,frame_000020.jpg,1920,1080,1191
21,frame_000021.jpg,1920,1080,1195
22,frame_000022.jpg,1920,1080,1175
23,frame_000023.jpg,1920,1080,1151
24,frame_000024.jpg,1920,1080,1178
25,frame_000025.jpg,1920,1080,1191
26,frame_000026.jpg,1920,1080,1173
27,frame_000027.jpg,1920,1080,1160
28,frame_000028.jpg,1920,1080,1191
29,frame_000029.jpg,1920,1080,1211
30,frame_000030.jpg,1920,1080,1195
31,frame_000031.jpg,1920,1080,1200
32,frame_000032.jpg,1920,1080,1183
33,frame_000033.jpg,1920,1080,1197
34,frame_000034.jpg,1920,1080,1180
35,frame_000035.jpg,1920,1080,1193
36,frame_000036.jpg,1920,1080,1180
37,frame_000037.jpg,1920,1080,1185
38,frame_000038.jpg,1920,1080,1140
39,frame_000039.jpg,1920,1080,1201
40,frame_000040.jpg,1920,1080,1191
41,frame_000041.jpg,1920,1080,1198
42,frame_000042.jpg,1920,1080,1161
43,frame_000043.jpg,1920,1080,1198
44,frame_000044.jpg,1920,1080,1191
45,frame_000045.jpg,1920,1080,1208
46,frame_000046.jpg,1920,1080,1197
47,frame_000047.jpg,1920,1080,1212
48,frame_000048.jpg,1920,1080,1194
49,frame_000049.jpg,1920,1080,1196
50,frame_000050.jpg,1920,1080,1179
51,frame_000051.jpg,1920,1080,1200
52,frame_000052.jpg,1920,1080,1149
53,frame_000053.jpg,1920,1080,1199
54,frame_000054.jpg,1920,1080,1181
55,frame_000055.jpg,1920,1080,1203
56,frame_000056.jpg,1920,1080,1156
57,frame_000057.jpg,1920,1080,1189
58,frame_000058.jpg,1920,1080,1187
59,frame_000059.jpg,1920,1080,1183
60,frame_000060.jpg,1920,1080,1174
61,frame_000061.jpg,1920,1080,1200
62,frame_000062.jpg,1920,1080,1173
63,frame_000063.jpg,1920,1080,1155
64,frame_000064.jpg,1920,1080,1146
65,frame_000065.jpg,1920,1080,1141
66,frame_000066.jpg,1920,1080,1181
67,frame_000067.jpg,1920,1080,1139
68,frame_000068.jpg,1920,1080,1209
69,frame_000069.jpg,1920,1080,1146
70,frame_000070.jpg,1920,1080,1127
